satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary,Probabilidad_de_irse,Riesgo,nombre
0.1,0.95,6,244,5,0,1,0,0,2,1.0,Alto,Empleado 63
0.36,0.56,2,132,3,0,1,0,0,2,1.0,Alto,Empleado 64
0.11,0.94,6,286,4,0,1,0,0,2,1.0,Alto,Empleado 65
0.81,0.7,6,161,4,0,1,0,0,2,0.82,Alto,Empleado 66
0.43,0.54,2,153,3,0,1,0,6,2,1.0,Alto,Empleado 67
0.9,0.98,4,264,6,0,1,0,6,2,1.0,Alto,Empleado 68
0.76,0.86,5,223,5,1,1,0,6,2,0.96,Alto,Empleado 69
0.43,0.5,2,135,3,0,1,0,6,2,1.0,Alto,Empleado 70
0.74,0.99,2,277,3,0,1,0,0,2,0.61,Medio,Empleado 71
0.09,0.77,5,275,4,0,1,0,6,2,0.99,Alto,Empleado 72
0.45,0.49,2,149,3,0,1,0,6,0,1.0,Alto,Empleado 73
0.09,0.87,7,295,4,0,1,0,6,1,1.0,Alto,Empleado 74
0.11,0.97,6,277,4,0,1,0,6,2,1.0,Alto,Empleado 75
0.11,0.79,7,306,4,0,1,0,6,2,1.0,Alto,Empleado 76
0.1,0.83,6,295,4,0,1,0,6,2,1.0,Alto,Empleado 77
0.4,0.54,2,137,3,0,1,0,5,2,1.0,Alto,Empleado 78
0.43,0.56,2,157,3,0,1,0,7,1,1.0,Alto,Empleado 79
0.39,0.56,2,142,3,0,1,0,2,1,1.0,Alto,Empleado 80
0.45,0.54,2,140,3,0,1,0,8,1,1.0,Alto,Empleado 81
0.38,0.49,2,151,3,0,1,0,9,1,1.0,Alto,Empleado 82
0.79,0.59,4,139,3,0,1,1,4,1,0.97,Alto,Empleado 83
0.84,0.85,4,249,6,0,1,0,5,1,1.0,Alto,Empleado 84
0.11,0.77,6,291,4,0,1,0,5,1,1.0,Alto,Empleado 85
0.11,0.87,6,305,4,0,1,0,5,1,1.0,Alto,Empleado 86
0.17,0.84,5,232,3,0,1,0,7,1,0.95,Alto,Empleado 87
0.44,0.45,2,132,3,0,1,0,7,1,1.0,Alto,Empleado 88
0.37,0.57,2,130,3,0,1,0,7,1,1.0,Alto,Empleado 89
0.1,0.79,6,291,4,0,1,0,7,1,1.0,Alto,Empleado 90
0.4,0.5,2,130,3,0,1,0,7,1,1.0,Alto,Empleado 91
0.89,1.0,5,246,5,0,1,0,7,1,1.0,Alto,Empleado 92
0.42,0.48,2,143,3,0,1,0,7,1,1.0,Alto,Empleado 93
0.46,0.55,2,129,3,0,1,0,7,1,1.0,Alto,Empleado 94
0.09,0.83,6,255,4,0,1,0,7,1,1.0,Alto,Empleado 95
0.37,0.51,2,155,3,0,1,0,7,1,1.0,Alto,Empleado 96
0.1,0.77,6,265,4,0,1,0,7,1,1.0,Alto,Empleado 97
0.1,0.84,6,279,4,0,1,0,7,1,1.0,Alto,Empleado 98
0.11,0.97,6,284,4,0,1,0,7,1,1.0,Alto,Empleado 99
0.9,1.0,5,221,6,0,1,0,7,2,1.0,Alto,Empleado 100
0.38,0.52,2,154,3,0,1,0,7,2,1.0,Alto,Empleado 101
0.36,0.52,2,147,3,0,1,0,7,2,1.0,Alto,Empleado 102
0.42,0.46,2,150,3,0,1,0,7,2,1.0,Alto,Empleado 103
0.09,0.94,7,267,4,0,1,0,7,2,1.0,Alto,Empleado 104
0.43,0.52,2,158,3,0,1,0,7,2,1.0,Alto,Empleado 105
0.24,0.46,7,224,5,0,1,0,2,2,0.98,Alto,Empleado 106
0.91,1.0,4,257,5,0,1,0,2,2,1.0,Alto,Empleado 107
0.44,0.5,2,148,3,0,1,0,2,2,1.0,Alto,Empleado 108
0.71,0.87,3,177,4,0,1,0,3,2,0.94,Alto,Empleado 109
0.4,0.49,2,155,3,0,1,0,3,2,1.0,Alto,Empleado 110
0.43,0.47,2,144,3,0,1,0,3,2,1.0,Alto,Empleado 111
0.09,0.85,6,289,4,0,1,0,3,0,1.0,Alto,Empleado 112
0.43,0.52,2,160,3,0,1,0,9,1,1.0,Alto,Empleado 113
0.9,0.96,4,258,5,0,1,0,9,2,1.0,Alto,Empleado 114
0.84,1.0,5,234,5,0,1,0,9,2,1.0,Alto,Empleado 115
0.37,0.48,2,137,3,0,1,0,9,2,1.0,Alto,Empleado 116
0.86,0.68,5,263,2,0,1,0,9,2,0.85,Alto,Empleado 117
0.11,0.84,6,251,4,0,1,0,9,1,1.0,Alto,Empleado 118
0.37,0.57,2,133,3,0,1,0,9,1,1.0,Alto,Empleado 119
0.4,0.46,2,132,3,0,1,0,9,1,1.0,Alto,Empleado 120
0.14,0.62,4,158,4,1,1,0,9,1,0.9,Alto,Empleado 121
0.4,0.46,2,135,3,0,1,0,9,1,1.0,Alto,Empleado 122
0.75,1.0,4,216,6,0,1,0,9,1,0.72,Medio,Empleado 123
0.11,0.84,6,300,5,1,1,0,8,1,1.0,Alto,Empleado 124
0.46,0.49,2,138,3,0,1,0,8,1,1.0,Alto,Empleado 125
0.11,0.92,6,260,4,0,1,0,8,1,1.0,Alto,Empleado 126
0.38,0.49,2,132,3,0,1,0,8,1,1.0,Alto,Empleado 127
0.7,0.89,3,183,5,0,1,0,8,1,0.91,Alto,Empleado 128
0.09,0.82,6,250,4,0,1,0,8,1,1.0,Alto,Empleado 129
0.37,0.45,2,151,3,0,1,0,8,1,1.0,Alto,Empleado 130
0.1,0.83,6,292,4,0,1,0,8,1,1.0,Alto,Empleado 131
0.38,0.57,2,140,3,0,1,0,8,1,1.0,Alto,Empleado 132
0.9,1.0,5,221,5,0,1,0,8,1,1.0,Alto,Empleado 133
0.44,0.51,2,138,3,0,1,0,8,1,1.0,Alto,Empleado 134
0.36,0.5,2,132,3,0,1,0,9,1,1.0,Alto,Empleado 135
0.31,0.84,7,133,5,0,1,0,9,1,0.86,Alto,Empleado 136
0.1,0.84,6,283,4,1,1,0,9,1,1.0,Alto,Empleado 137
0.42,0.48,2,129,3,0,1,0,4,1,1.0,Alto,Empleado 138
0.74,1.0,4,249,5,0,1,0,0,1,1.0,Alto,Empleado 139
0.73,0.87,5,257,5,0,1,0,0,1,1.0,Alto,Empleado 140
0.09,0.96,6,245,4,0,1,0,0,1,1.0,Alto,Empleado 141
0.45,0.53,2,155,3,0,1,0,0,1,1.0,Alto,Empleado 142
0.11,0.8,6,256,4,0,1,0,0,1,1.0,Alto,Empleado 143
0.37,0.47,2,152,3,0,1,0,6,1,1.0,Alto,Empleado 144
0.84,0.99,4,267,5,0,1,0,6,1,1.0,Alto,Empleado 145
0.41,0.46,2,151,3,0,1,0,6,1,1.0,Alto,Empleado 146
0.76,0.92,4,239,5,0,1,0,6,1,1.0,Alto,Empleado 147
0.11,0.87,6,306,4,0,1,0,0,1,1.0,Alto,Empleado 148
0.84,0.88,4,263,5,1,1,0,5,1,1.0,Alto,Empleado 149
0.39,0.5,2,147,3,0,1,0,5,1,1.0,Alto,Empleado 150
0.11,0.91,6,278,4,0,1,0,5,1,1.0,Alto,Empleado 151
0.45,0.56,2,154,3,0,1,0,5,1,1.0,Alto,Empleado 152
0.37,0.52,2,143,3,0,1,0,5,1,1.0,Alto,Empleado 153
0.4,0.52,2,155,3,0,1,0,5,1,1.0,Alto,Empleado 154
0.39,0.48,2,160,3,0,1,0,7,1,1.0,Alto,Empleado 155
0.11,0.8,6,304,4,0,1,0,2,1,1.0,Alto,Empleado 156
0.83,1.0,5,240,5,0,1,0,8,1,1.0,Alto,Empleado 157
0.11,0.92,6,305,4,0,1,0,9,1,1.0,Alto,Empleado 158
0.39,0.5,2,136,3,0,1,0,4,1,1.0,Alto,Empleado 159
0.45,0.45,2,132,3,0,1,0,5,1,1.0,Alto,Empleado 160
0.1,0.95,7,301,4,0,1,0,5,1,1.0,Alto,Empleado 161
0.9,0.98,5,243,6,0,1,0,5,1,1.0,Alto,Empleado 162
0.45,0.51,2,147,3,0,1,0,7,1,1.0,Alto,Empleado 163
0.79,0.89,5,239,5,0,1,0,7,1,1.0,Alto,Empleado 164
0.9,0.99,5,260,5,0,1,0,7,1,1.0,Alto,Empleado 165
0.11,0.84,7,296,4,0,1,0,7,1,1.0,Alto,Empleado 166
0.43,0.55,2,129,3,0,1,0,7,1,1.0,Alto,Empleado 167
0.31,0.54,5,132,5,0,1,0,7,1,0.64,Medio,Empleado 168
0.32,0.5,2,135,5,0,1,0,7,1,0.68,Medio,Empleado 169
0.45,0.57,2,158,3,0,1,0,7,1,1.0,Alto,Empleado 170
0.81,0.99,4,259,5,0,1,0,7,1,1.0,Alto,Empleado 171
0.41,0.46,2,160,3,0,1,1,7,1,1.0,Alto,Empleado 172
0.11,0.78,7,278,4,0,1,0,7,1,1.0,Alto,Empleado 173
0.1,0.88,6,284,4,0,1,0,7,1,1.0,Alto,Empleado 174
0.7,0.53,2,274,4,0,1,0,7,1,0.84,Alto,Empleado 175
0.54,0.74,4,164,2,0,1,0,7,1,0.95,Alto,Empleado 176
0.41,0.48,2,148,3,0,1,0,7,1,1.0,Alto,Empleado 177
0.38,0.5,2,140,3,0,1,0,7,2,1.0,Alto,Empleado 178
0.37,0.51,2,127,3,0,1,0,7,2,1.0,Alto,Empleado 179
0.11,0.85,6,308,5,0,1,0,7,2,1.0,Alto,Empleado 180
0.4,0.47,2,146,3,0,1,0,7,2,1.0,Alto,Empleado 181
0.1,0.84,6,261,4,0,1,0,2,2,1.0,Alto,Empleado 182
0.89,0.99,5,257,5,0,1,0,2,2,1.0,Alto,Empleado 183
0.11,0.8,6,285,4,0,1,0,2,2,1.0,Alto,Empleado 184
0.36,0.55,2,141,3,0,1,0,3,2,1.0,Alto,Empleado 185
0.4,0.46,2,127,3,0,1,0,3,2,1.0,Alto,Empleado 186
0.09,0.85,6,297,4,0,1,0,3,2,1.0,Alto,Empleado 187
0.4,0.46,2,143,3,0,1,0,3,2,1.0,Alto,Empleado 188
0.37,0.55,2,152,3,0,1,0,9,2,1.0,Alto,Empleado 189
0.44,0.51,2,156,3,0,1,0,9,0,1.0,Alto,Empleado 190
0.09,0.8,7,283,5,0,1,0,9,1,1.0,Alto,Empleado 191
0.92,0.87,4,226,6,1,1,0,9,2,0.97,Alto,Empleado 192
0.74,0.91,4,232,5,0,1,0,9,2,1.0,Alto,Empleado 193
0.09,0.82,6,249,4,0,1,0,9,2,1.0,Alto,Empleado 194
0.89,0.95,4,275,5,0,1,0,9,2,1.0,Alto,Empleado 195
0.09,0.8,6,304,4,0,1,0,9,1,1.0,Alto,Empleado 196
0.27,0.54,7,278,3,0,1,0,9,1,0.97,Alto,Empleado 197
0.1,0.91,6,287,4,0,1,0,9,1,1.0,Alto,Empleado 198
0.1,0.89,7,285,4,0,1,0,9,1,1.0,Alto,Empleado 199
0.77,0.94,5,226,6,0,1,0,8,1,1.0,Alto,Empleado 200
0.9,0.82,5,259,5,0,1,0,8,1,0.95,Alto,Empleado 201
0.39,0.5,2,135,3,0,1,0,8,1,1.0,Alto,Empleado 202
0.76,1.0,5,219,5,0,1,0,8,1,1.0,Alto,Empleado 203
0.1,0.93,6,256,4,0,1,0,8,1,1.0,Alto,Empleado 204
0.87,0.9,5,254,6,0,1,0,8,1,1.0,Alto,Empleado 205
0.38,0.5,2,153,3,0,1,0,8,1,1.0,Alto,Empleado 206
0.77,0.99,5,228,5,0,1,0,8,1,1.0,Alto,Empleado 207
0.78,0.87,4,228,5,0,1,0,8,1,0.99,Alto,Empleado 208
0.44,0.5,2,128,3,0,1,0,8,1,1.0,Alto,Empleado 209
0.38,0.52,2,153,3,0,1,0,8,1,1.0,Alto,Empleado 210
0.43,0.46,2,156,3,0,1,0,9,1,1.0,Alto,Empleado 211
0.39,0.5,4,294,3,0,1,0,9,1,0.93,Alto,Empleado 212
0.88,1.0,5,219,5,0,1,0,9,1,1.0,Alto,Empleado 213
0.45,0.46,2,153,3,0,1,0,4,1,1.0,Alto,Empleado 214
0.4,0.53,2,151,3,0,1,0,0,1,1.0,Alto,Empleado 215
0.36,0.51,2,155,3,0,1,0,0,1,1.0,Alto,Empleado 216
0.36,0.48,2,158,3,0,1,0,0,1,1.0,Alto,Empleado 217
0.9,0.98,5,245,5,0,1,0,0,1,1.0,Alto,Empleado 218
0.43,0.53,2,131,3,0,1,0,0,1,1.0,Alto,Empleado 219
0.89,0.87,5,225,5,0,1,0,6,1,1.0,Alto,Empleado 220
0.1,0.84,6,286,4,0,1,0,6,1,1.0,Alto,Empleado 221
0.37,0.5,2,135,3,0,1,0,6,1,1.0,Alto,Empleado 222
0.37,0.51,2,153,3,0,1,0,6,1,1.0,Alto,Empleado 223
0.87,0.9,5,252,5,0,1,0,0,1,1.0,Alto,Empleado 224
0.4,0.56,2,149,3,0,1,0,2,1,1.0,Alto,Empleado 225
0.9,0.97,4,258,5,0,1,0,2,1,0.99,Alto,Empleado 226
0.37,0.46,2,158,3,0,1,0,3,1,1.0,Alto,Empleado 227
0.44,0.54,2,149,3,0,1,0,3,1,1.0,Alto,Empleado 228
0.85,0.95,5,236,5,0,1,0,3,1,1.0,Alto,Empleado 229
0.78,0.98,5,239,6,0,1,0,5,1,1.0,Alto,Empleado 230
0.42,0.47,2,159,3,0,1,0,5,1,0.99,Alto,Empleado 231
0.92,0.99,5,255,6,0,1,0,7,1,1.0,Alto,Empleado 232
0.11,0.83,6,244,4,0,1,0,2,1,1.0,Alto,Empleado 233
0.42,0.56,2,134,3,0,1,0,8,1,1.0,Alto,Empleado 234
0.48,0.57,4,270,4,0,1,0,9,1,0.91,Alto,Empleado 235
0.83,0.85,4,255,5,0,1,0,4,1,1.0,Alto,Empleado 236
0.4,0.53,2,151,3,0,1,0,5,1,1.0,Alto,Empleado 237
0.43,0.45,2,135,3,0,1,0,5,1,1.0,Alto,Empleado 238
0.43,0.53,2,146,3,0,1,0,5,1,1.0,Alto,Empleado 239
0.1,0.97,7,254,4,0,1,0,7,1,1.0,Alto,Empleado 240
0.1,0.87,7,289,4,0,1,0,7,1,1.0,Alto,Empleado 241
0.37,0.46,2,156,3,0,1,0,7,1,1.0,Alto,Empleado 242
0.38,0.53,2,156,3,0,1,0,7,1,1.0,Alto,Empleado 243
0.4,0.5,2,128,3,0,1,0,7,1,1.0,Alto,Empleado 244
0.89,0.86,5,275,5,0,1,0,7,1,1.0,Alto,Empleado 245
0.45,0.46,2,155,3,0,1,0,7,1,1.0,Alto,Empleado 246
0.37,0.48,2,159,3,0,1,0,7,1,1.0,Alto,Empleado 247
0.46,0.49,2,148,3,0,1,0,7,1,1.0,Alto,Empleado 248
0.87,0.91,4,228,5,0,1,0,7,1,0.99,Alto,Empleado 249
0.11,0.84,6,298,4,0,1,0,7,1,1.0,Alto,Empleado 250
0.79,0.87,5,261,5,0,1,0,7,1,0.99,Alto,Empleado 251
0.79,0.92,5,254,6,0,1,0,7,1,1.0,Alto,Empleado 252
0.19,0.59,7,192,3,0,1,0,7,1,1.0,Alto,Empleado 253
0.87,0.98,4,248,5,0,1,0,7,1,1.0,Alto,Empleado 254
0.6,0.92,2,258,5,0,1,0,7,1,0.97,Alto,Empleado 255
0.44,0.45,2,156,3,0,1,0,7,2,1.0,Alto,Empleado 256
0.11,0.81,6,266,4,1,1,0,7,2,1.0,Alto,Empleado 257
0.42,0.54,2,156,3,0,1,0,7,2,1.0,Alto,Empleado 258
0.88,0.88,5,232,5,1,1,0,2,2,1.0,Alto,Empleado 259
0.11,0.84,6,287,4,0,1,0,2,2,1.0,Alto,Empleado 260
0.46,0.46,2,154,3,0,1,0,2,2,1.0,Alto,Empleado 261
0.82,0.97,5,263,5,0,1,0,3,2,1.0,Alto,Empleado 262
0.44,0.56,2,131,3,0,1,0,3,2,1.0,Alto,Empleado 263
0.11,0.78,6,260,4,0,1,0,3,2,1.0,Alto,Empleado 264
0.42,0.5,2,139,3,0,1,0,3,2,1.0,Alto,Empleado 265
0.84,0.93,4,251,5,0,1,0,9,2,1.0,Alto,Empleado 266
0.11,0.95,6,286,4,0,1,0,9,2,1.0,Alto,Empleado 267
0.45,0.53,2,129,3,0,1,0,9,0,1.0,Alto,Empleado 268
0.38,0.56,2,156,3,0,1,0,9,1,1.0,Alto,Empleado 269
0.38,0.86,6,139,6,0,1,0,9,2,0.91,Alto,Empleado 270
0.44,0.51,2,127,3,0,1,0,9,2,1.0,Alto,Empleado 271
0.11,0.84,6,251,4,0,1,0,9,2,1.0,Alto,Empleado 272
0.81,0.93,5,270,5,0,1,0,9,2,1.0,Alto,Empleado 273
0.09,0.96,6,296,4,0,1,0,9,1,1.0,Alto,Empleado 274
0.11,0.9,6,254,4,0,1,0,9,1,1.0,Alto,Empleado 275
0.81,0.95,5,238,6,0,1,0,9,1,1.0,Alto,Empleado 276
0.1,0.97,6,267,4,1,1,0,8,1,1.0,Alto,Empleado 277
0.74,0.89,5,229,6,0,1,0,8,1,1.0,Alto,Empleado 278
0.09,0.78,6,254,4,0,1,0,8,1,1.0,Alto,Empleado 279
0.82,0.81,4,233,4,1,1,0,8,1,0.95,Alto,Empleado 280
0.1,0.98,6,268,4,0,1,0,8,1,1.0,Alto,Empleado 281
0.27,0.56,3,301,3,0,1,0,8,1,0.99,Alto,Empleado 282
0.83,0.92,5,267,6,0,1,0,8,1,1.0,Alto,Empleado 283
0.1,0.93,6,289,4,1,1,0,8,1,1.0,Alto,Empleado 284
0.38,0.47,2,144,3,0,1,0,8,1,1.0,Alto,Empleado 285
0.4,0.56,2,148,3,0,1,0,8,1,1.0,Alto,Empleado 286
0.11,0.83,6,306,4,0,1,0,8,1,1.0,Alto,Empleado 287
0.11,0.79,6,292,4,0,1,1,9,1,0.99,Alto,Empleado 288
0.82,0.91,5,232,5,0,1,0,9,1,1.0,Alto,Empleado 289
0.36,0.48,2,137,3,0,1,0,9,1,1.0,Alto,Empleado 290
0.4,0.46,2,128,3,0,1,0,4,1,1.0,Alto,Empleado 291
0.87,0.84,5,231,5,0,1,0,0,1,1.0,Alto,Empleado 292
0.41,0.49,2,146,3,0,1,0,0,1,1.0,Alto,Empleado 293
0.11,0.91,6,308,4,1,1,0,0,1,1.0,Alto,Empleado 294
0.1,0.93,6,253,4,0,1,0,0,2,1.0,Alto,Empleado 295
0.38,0.51,2,146,3,0,1,0,0,2,1.0,Alto,Empleado 296
0.39,0.55,2,156,3,0,1,0,6,2,1.0,Alto,Empleado 297
0.4,0.52,2,147,3,0,1,0,6,2,1.0,Alto,Empleado 298
0.45,0.48,2,136,3,0,1,0,6,2,1.0,Alto,Empleado 299
0.74,0.84,5,249,5,0,1,0,6,2,1.0,Alto,Empleado 300
0.45,0.55,2,151,3,0,1,0,0,2,1.0,Alto,Empleado 301
0.12,1.0,3,278,4,0,1,0,1,2,0.92,Alto,Empleado 302
0.1,0.77,7,250,5,0,1,0,1,2,1.0,Alto,Empleado 303
0.37,0.55,2,127,3,0,1,0,1,2,1.0,Alto,Empleado 304
0.89,0.87,5,255,5,0,1,0,1,2,1.0,Alto,Empleado 305
0.45,0.47,2,135,3,0,1,0,1,2,0.99,Alto,Empleado 306
0.37,0.46,2,149,3,0,1,0,5,0,1.0,Alto,Empleado 307
0.11,0.81,5,287,4,0,1,0,7,1,1.0,Alto,Empleado 308
0.41,0.48,2,145,3,0,1,0,2,2,1.0,Alto,Empleado 309
0.1,0.94,6,285,4,0,1,0,8,2,1.0,Alto,Empleado 310
0.1,0.93,7,305,4,0,1,0,9,2,1.0,Alto,Empleado 311
0.11,0.95,7,300,4,0,1,0,4,2,1.0,Alto,Empleado 312
0.4,0.54,2,139,3,0,1,0,5,1,1.0,Alto,Empleado 313
0.41,0.49,2,130,3,0,1,0,5,1,1.0,Alto,Empleado 314
0.1,0.81,6,268,4,0,1,0,5,1,1.0,Alto,Empleado 315
0.73,0.86,4,245,6,0,1,0,7,1,1.0,Alto,Empleado 316
0.43,0.47,2,135,3,0,1,0,7,1,1.0,Alto,Empleado 317
0.37,0.46,2,153,3,0,1,0,7,1,1.0,Alto,Empleado 318
0.11,0.94,6,276,4,0,1,0,7,1,1.0,Alto,Empleado 319
0.4,0.46,2,130,3,0,1,0,7,1,1.0,Alto,Empleado 320
0.41,0.54,2,153,3,1,1,0,7,1,1.0,Alto,Empleado 321
0.82,0.84,5,244,5,0,1,0,7,1,1.0,Alto,Empleado 322
0.61,0.47,2,253,3,0,1,0,7,1,0.93,Alto,Empleado 323
0.11,0.91,7,287,4,0,1,0,7,1,1.0,Alto,Empleado 324
0.37,0.45,2,131,3,0,1,0,7,1,1.0,Alto,Empleado 325
0.41,0.52,2,135,3,0,1,0,7,1,1.0,Alto,Empleado 326
0.37,0.52,2,157,3,0,1,0,7,1,1.0,Alto,Empleado 327
0.88,0.99,5,262,6,0,1,0,7,1,1.0,Alto,Empleado 328
0.1,0.85,6,266,4,0,1,0,7,1,1.0,Alto,Empleado 329
0.44,0.48,2,148,3,0,1,0,7,1,1.0,Alto,Empleado 330
0.38,0.57,2,140,3,0,1,0,7,1,1.0,Alto,Empleado 331
0.11,0.85,7,302,4,0,1,0,7,1,1.0,Alto,Empleado 332
0.09,0.98,6,271,4,0,1,0,7,1,1.0,Alto,Empleado 333
0.45,0.52,2,145,3,0,1,0,7,2,1.0,Alto,Empleado 334
0.1,0.81,6,290,4,0,1,0,2,2,1.0,Alto,Empleado 335
0.45,0.47,2,151,3,0,1,0,2,2,1.0,Alto,Empleado 336
0.77,0.87,5,266,5,0,1,0,2,2,0.99,Alto,Empleado 337
0.44,0.51,2,140,3,0,1,0,3,2,1.0,Alto,Empleado 338
0.39,0.5,2,142,3,0,1,0,3,2,1.0,Alto,Empleado 339
0.1,0.91,6,246,4,0,1,0,3,2,1.0,Alto,Empleado 340
0.09,0.89,7,308,5,0,1,0,3,2,1.0,Alto,Empleado 341
0.37,0.47,2,141,3,0,1,0,9,2,1.0,Alto,Empleado 342
0.9,1.0,5,232,5,0,1,0,9,2,1.0,Alto,Empleado 343
0.41,0.56,2,143,3,0,1,0,9,2,1.0,Alto,Empleado 344
0.37,0.52,2,155,3,0,1,0,9,2,1.0,Alto,Empleado 345
0.1,0.86,6,278,4,0,1,0,9,0,1.0,Alto,Empleado 346
0.81,1.0,4,253,5,0,1,0,9,1,1.0,Alto,Empleado 347
0.11,0.8,6,282,4,0,1,0,9,2,1.0,Alto,Empleado 348
0.11,0.84,7,264,4,0,1,0,9,2,1.0,Alto,Empleado 349
0.4,0.46,2,149,3,0,1,0,9,2,1.0,Alto,Empleado 350
0.09,0.8,6,304,5,0,1,0,9,2,1.0,Alto,Empleado 351
0.48,0.93,3,219,6,0,1,0,9,1,0.77,Medio,Empleado 352
0.91,0.91,4,262,6,0,1,0,8,1,1.0,Alto,Empleado 353
0.43,0.57,2,135,3,0,1,0,8,1,1.0,Alto,Empleado 354
